Date,Open,High,Low,Volume,Close,Adj Close
5/5/15,237.759995,239.5,229.130005,5796900,232.949997,232.949997
5/6/15,234.100006,234.470001,228.199997,5270900,230.429993,230.429993
5/7/15,221,237.479996,220.25,9455900,236.800003,236.800003
5/8/15,235.990005,238.410004,233.699997,4668200,236.610001,236.610001
5/11/15,236.289993,242.880005,235.309998,5672300,239.490005,239.490005
5/12/15,240.110001,246.350006,238.190002,6363400,244.740005,244.740005
5/13/15,247.610001,248.300003,242.25,5440200,243.179993,243.179993
5/14/15,244.820007,244.889999,241.25,2895900,244.100006,244.100006
5/15/15,243.929993,249.399994,242.5,4527600,248.839996,248.839996
5/18/15,247,249.899994,246,3353200,248.75,248.75
5/19/15,248.429993,251,246.149994,3674200,247.139999,247.139999
5/20/15,247.130005,247.740005,241.369995,3755600,244.350006,244.350006
5/21/15,243.029999,246.619995,242.360001,1970600,245.619995,245.619995
5/22/15,245.380005,248.600006,245.009995,2223100,247.729996,247.729996
5/26/15,247.679993,252,246.5,3498700,247.460007,247.460007
5/27/15,248.509995,249.5,245.550003,3408200,247.429993,247.429993
5/28/15,247.029999,251.800003,245.050003,3647300,251.449997,251.449997
5/29/15,251,252.869995,249.429993,3789300,250.800003,250.800003
6/1/15,251.410004,251.600006,247.470001,2505100,249.449997,249.449997
6/2/15,248.919998,249.399994,246.300003,2134800,248.350006,248.350006
6/3/15,248.199997,250.720001,247.009995,1781500,248.990005,248.990005
6/4/15,247.5,249.300003,245.710007,2453600,245.919998,245.919998
6/5/15,246,249.699997,245.679993,3022000,249.139999,249.139999
6/8/15,250.850006,258.75,250.309998,5017000,256.290009,256.290009
6/9/15,255.399994,257.73999,254.139999,2611100,256,256
6/10/15,251.899994,254,248.5,3454500,250.699997,250.699997
6/11/15,253.259995,254.369995,250.429993,2044100,251.410004,251.410004
6/12/15,250.210007,253.460007,250.210007,1422300,250.690002,250.690002
6/15/15,249.699997,251.279999,246.009995,2186200,250.380005,250.380005
6/16/15,250.130005,253.440002,249.100006,1984700,253.119995,253.119995
6/17/15,252.169998,264.359985,252.020004,5512900,260.410004,260.410004
6/18/15,262,263.459991,260.019989,2782700,261.890015,261.890015
6/19/15,262.399994,263.799988,260.100006,2463000,262.51001,262.51001
6/22/15,262.149994,264.399994,255.690002,4561100,259.790009,259.790009
6/23/15,260.320007,268,258.570007,3870800,267.670013,267.670013
6/24/15,266.980011,267.350006,263.720001,2412300,265.170013,265.170013
6/25/15,266.450012,271.410004,265.25,2849200,268.790009,268.790009
6/26/15,268.890015,269.109985,266,3838400,267.089996,267.089996
6/29/15,261.950012,265.950012,260.700012,3478900,262.019989,262.019989
6/30/15,264.799988,270.920013,264,3086900,268.26001,268.26001
7/1/15,271.109985,272.619995,267.850006,2101200,269.149994,269.149994
7/2/15,280.200012,282.450012,273.309998,7163900,280.019989,280.019989
7/6/15,278.880005,281.690002,276.299988,4121900,279.720001,279.720001
7/7/15,275,275.200012,260.769989,6105100,267.880005,267.880005
7/8/15,259.320007,260.799988,254.309998,6221100,254.960007,254.960007
7/9/15,259.079987,262.950012,256.790009,3334100,257.920013,257.920013
7/10/15,262.220001,263,257.820007,2610900,259.149994,259.149994
7/13/15,262.25,262.549988,256.049988,2960300,262.160004,262.160004
7/14/15,262.100006,265.98999,260.51001,1907600,265.649994,265.649994
7/15/15,266.73999,267.48999,262.079987,2021600,263.140015,263.140015
7/16/15,264.220001,267.200012,263.160004,1616000,266.679993,266.679993
7/17/15,272.5,275.540009,268.25,5004100,274.660004,274.660004
7/20/15,275,286.649994,272.540009,4978500,282.26001,282.26001
7/21/15,270.049988,273.5,266.549988,6108700,266.769989,266.769989
7/22/15,261.269989,269.440002,260.859985,3105000,267.869995,267.869995
7/23/15,269.649994,269.899994,265.269989,2227200,267.200012,267.200012
7/24/15,267.380005,271.089996,263.920013,2836500,265.410004,265.410004
7/27/15,262.429993,264.429993,250.789993,4694200,253.009995,253.009995
7/28/15,255.75,265.399994,251.839996,3895800,264.820007,264.820007
7/29/15,264.269989,267.890015,262,2790100,263.820007,263.820007
7/30/15,262.690002,266.940002,262.109985,2034600,266.790009,266.790009
7/31/15,267.600006,269.359985,265.119995,2222600,266.149994,266.149994
8/3/15,266.290009,266.709991,257.070007,2553500,259.98999,259.98999
8/4/15,260.01001,266.720001,258.339996,2352500,266.279999,266.279999
8/5/15,263.579987,271,260.399994,6214300,270.130005,270.130005
8/6/15,249.539993,255,236.119995,14623800,246.130005,246.130005
8/7/15,243.580002,243.729996,238.389999,5073400,242.509995,242.509995
8/10/15,238.149994,242.970001,236.050003,4185900,241.139999,241.139999
8/11/15,237.149994,239.300003,234.440002,4264900,237.369995,237.369995
8/12/15,235,239.770004,232.740005,3728000,238.169998,238.169998
8/13/15,239.860001,246.479996,239.119995,4689200,242.509995,242.509995
8/14/15,247.240005,247.929993,241.770004,4364800,243.149994,243.149994
8/17/15,255.559998,256.589996,250.509995,7176700,254.990005,254.990005
8/18/15,255.380005,260.950012,253.559998,4195000,260.720001,260.720001
8/19/15,260.329987,260.649994,255.020004,3604300,255.25,255.25
8/20/15,252.059998,254.559998,241.899994,4905800,242.179993,242.179993
8/21/15,236,243.800003,230.509995,6590200,230.770004,230.770004
8/24/15,202.789993,231.399994,195,9581600,218.869995,218.869995
8/25/15,230.520004,230.899994,219.119995,4327300,220.029999,220.029999
8/26/15,227.929993,228,215.509995,4963000,224.839996,224.839996
8/27/15,231,244.75,230.809998,7656000,242.990005,242.990005
8/28/15,241.860001,251.449997,241.570007,5513700,248.479996,248.479996
8/31/15,245.619995,254.949997,245.509995,4700200,249.059998,249.059998
9/1/15,240.339996,246,236.970001,5454800,238.630005,238.630005
9/2/15,245.300003,247.880005,239.779999,4629200,247.690002,247.690002
9/3/15,252.059998,252.080002,245,4194800,245.570007,245.570007
9/4/15,240.889999,244.089996,238.199997,3689200,241.929993,241.929993
9/8/15,245.050003,249.160004,244.050003,3138200,248.169998,248.169998
9/9/15,252.050003,254.25,248.300003,3390800,248.910004,248.910004
9/10/15,247.229996,250.720001,245.330002,2709000,248.479996,248.479996
9/11/15,247.639999,250.240005,244.729996,2350800,250.240005,250.240005
9/14/15,251.100006,254.25,249.669998,2890900,253.190002,253.190002
9/15/15,252.75,254.600006,249.5,2933500,253.570007,253.570007
9/16/15,253.039993,262.880005,252.880005,4417100,262.25,262.25
9/17/15,263.959991,265.5,260.690002,3585800,262.070007,262.070007
9/18/15,257.959991,263.820007,257.5,3763100,260.619995,260.619995
9/21/15,263.980011,271.570007,255.800003,6120200,264.200012,264.200012
9/22/15,259.029999,262.649994,255.869995,3664400,260.940002,260.940002
9/23/15,261.950012,262.079987,257.579987,2600800,261.059998,261.059998
9/24/15,259.529999,263.450012,256.209991,3448200,263.119995,263.119995
9/25/15,266.609985,266.910004,256.149994,3773400,256.910004,256.910004
9/28/15,257.350006,259.790009,246.610001,4901100,248.429993,248.429993
9/29/15,250.460007,254.729996,245.460007,3703200,246.649994,246.649994
9/30/15,252,252.399994,242.339996,4929600,248.399994,248.399994
10/1/15,247.509995,248.5,237.130005,4573000,239.880005,239.880005
10/2/15,235.600006,247.699997,234.929993,4424000,247.570007,247.570007
10/5/15,248.839996,249.839996,244.130005,3689900,246.149994,246.149994
10/6/15,240,243.029999,235.580002,5225200,241.460007,241.460007
10/7/15,236.630005,237.699997,229.119995,6814000,231.960007,231.960007
10/8/15,230.080002,230.720001,221.309998,6133200,226.720001,226.720001
10/9/15,220.929993,224.369995,218.360001,6158400,220.690002,220.690002
10/12/15,222.990005,223,215.270004,3836300,215.580002,215.580002
10/13/15,213.279999,222.520004,211.130005,5171500,219.25,219.25
10/14/15,220.669998,220.949997,215.429993,3104400,216.880005,216.880005
10/15/15,216.429993,221.729996,213.699997,2844200,221.309998,221.309998
10/16/15,223.039993,230.479996,222.869995,4334500,227.009995,227.009995
10/19/15,226.5,231.149994,224.940002,2507900,228.100006,228.100006
10/20/15,227.720001,228.600006,202,14900000,213.029999,213.029999
10/21/15,211.990005,214.809998,208.800003,4151500,210.089996,210.089996
10/22/15,211.559998,215.75,209.399994,2825200,211.720001,211.720001
10/23/15,215,215.350006,207.690002,4235500,209.089996,209.089996
10/26/15,211.380005,215.880005,210,3391400,215.259995,215.259995
10/27/15,214.839996,217.100006,207.509995,3519400,210.350006,210.350006
10/28/15,211.309998,213.449997,208.300003,2728600,212.960007,212.960007
10/29/15,211.75,213.75,210.639999,1805000,211.630005,211.630005
10/30/15,210.399994,211.630005,203.889999,4438900,206.929993,206.929993
11/2/15,208.919998,215.800003,207.220001,3927900,213.789993,213.789993
11/3/15,213.850006,214.440002,207.75,8332500,208.350006,208.350006
11/4/15,227,232.740005,225.199997,12726400,231.630005,231.630005
11/5/15,230.580002,234.580002,229.190002,4496800,231.770004,231.770004
11/6/15,230.699997,233.360001,229.5,2445300,232.360001,232.360001
11/9/15,232.990005,232.990005,224.309998,3850900,225.330002,225.330002
11/10/15,223.479996,223.699997,216.080002,4617000,216.5,216.5
11/11/15,217.770004,219.479996,213.630005,3347800,219.080002,219.080002
11/12/15,217.850006,219,212.660004,2915900,212.940002,212.940002
11/13/15,212.949997,212.990005,206.520004,3430300,207.190002,207.190002
11/16/15,206.089996,214.979996,205.800003,2925400,214.309998,214.309998
11/17/15,215.199997,216,211.399994,2148700,214,214
11/18/15,214.5,221.380005,212.520004,2811900,221.070007,221.070007
11/19/15,220.539993,226.190002,220.300003,2504400,221.800003,221.800003
11/20/15,223.490005,225,213.580002,4400700,220.009995,220.009995
11/23/15,217.350006,219.179993,214.679993,2526200,217.75,217.75
11/24/15,215.369995,221,215,2480300,218.25,218.25
11/25/15,221.339996,230.830002,220.380005,3990800,229.639999,229.639999
11/27/15,231.059998,232.25,227.009995,1949400,231.610001,231.610001
11/30/15,231.789993,234.279999,229.080002,2659800,230.259995,230.259995
12/1/15,231.059998,238,231.050003,3734000,237.190002,237.190002
12/2/15,237,238.600006,231.229996,2981500,231.990005,231.990005
12/3/15,235.479996,237.449997,230,2939600,232.710007,232.710007
12/4/15,232.460007,233.270004,227.660004,2573600,230.380005,230.380005
12/7/15,227.699997,235.630005,226.149994,3144200,231.130005,231.130005
